FIPS,county,state,total.population.est,age.o65y.per,males.100.females.ratio,edu.o25y.high.school.grad.per,edu.o25y.bacherlor.or.higher.per,housing.units.vacant.per,race.white.per,race.black.per,race.native.american.per,race.asian.per,race.pacific.per,race.other.per,race.latino.per,rel.population.total.members.per,work.laborforce.civilian.is.unemployed.per,work.occupation.management.business.science.arts.per,work.occupation.service.per,work.occupation.sales.office.per,work.occupation.natural.ressources.construction.maintenance.per,work.occupation.production.transportation.per,work.class.of.worker.private.per,work.class.of.worker.gov.per,work.class.of.worker.self.employed.per,income.median.est,income.with.social.security.per,insurance.with.insurance.per,poverty.all.people.per,household.average.family.size.est,disability.is.per,residence.1y.ago.same.county.per,place.of.birth.foreign.per,foreign.born.place.latin.america.per,language.spoken.at.home.english.only.per,geo.density.population.ratio,geo.density.housing.ratio,health.general.practicioner.per.1000.ratio,votes.republicans.per,party.governor,voting.behavior
16013,Blaine County,Idaho,21309,0.151,103.5,0.18,0.428,0.41,0.77,0.00,0.00,0.01,0.00,0.02,0.20,0.310,0.041,0.319,0.262,0.226,0.138,0.055,0.732,0.14,0.126,60088,0.261,0.834,0.104,2.97,0.068,0.941,0.139,0.727,0.805,8.06,5.72,0.89,0.31,Rep,Rep
16015,Boise County,Idaho,6885,0.207,111.3,0.278,0.251,0.44,0.92,0.01,0.01,0.00,0.00,0.03,0.04,0.353,0.105,0.368,0.146,0.251,0.12,0.115,0.627,0.258,0.112,44238,0.402,0.857,0.145,2.88,0.176,0.886,0.024,0.252,0.968,3.63,2.81,0.43,0.70,Rep,Rep
16017,Bonner County,Idaho,41066,0.203,100.3,0.314,0.21,0.30,0.94,0.00,0.00,0.00,0.00,0.05,0.03,0.223,0.062,0.274,0.198,0.249,0.125,0.154,0.746,0.131,0.122,42171,0.41,0.837,0.153,2.85,0.158,0.933,0.02,0.223,0.978,23.68,14.18,0.51,0.61,Rep,Rep
16019,Bonneville County,Idaho,107788,0.116,98.2,0.275,0.272,0.09,0.84,0.00,0.00,0.01,0.00,0.04,0.12,0.293,0.056,0.347,0.174,0.251,0.101,0.126,0.78,0.152,0.066,50762,0.29,0.866,0.132,3.43,0.135,0.933,0.053,0.725,0.897,57.76,21.69,0.34,0.60,Rep,Rep
16021,Boundary County,Idaho,10961,0.196,104.3,0.368,0.16,0.18,0.91,0.00,0.02,0.00,0.00,0.05,0.04,0.301,0.047,0.284,0.18,0.212,0.154,0.17,0.717,0.168,0.111,38961,0.438,0.764,0.153,3.1,0.17,0.927,0.024,0.43,0.969,8.64,4.12,0.91,0.74,Rep,Rep
16023,Butte County,Idaho,2653,0.192,115.9,0.365,0.156,0.21,0.88,0.02,0.00,0.00,0.00,0.07,0.06,0.623,0.068,0.343,0.204,0.15,0.159,0.144,0.646,0.279,0.074,37891,0.407,0.829,0.176,3.25,0.169,0.951,0.038,0.97,0.95,1.19,0.57,0.35,0.74,Rep,Rep
16025,Camas County,Idaho,1052,0.173,104.7,0.278,0.183,0.50,0.87,0.00,0.01,0.00,0.00,0.01,0.11,0.166,0.058,0.284,0.198,0.176,0.212,0.13,0.66,0.218,0.112,42614,0.32,0.767,0.218,3.12,0.171,0.94,0.056,0.949,0.878,0.98,0.82,0.00,0.68,Rep,Rep
16027,Canyon County,Idaho,198921,0.121,98.3,0.32,0.177,0.07,0.72,0.00,0.01,0.01,0.00,0.04,0.24,0.244,0.094,0.257,0.195,0.244,0.143,0.16,0.798,0.127,0.072,42888,0.307,0.823,0.194,3.52,0.139,0.922,0.084,0.814,0.818,338.66,120.40,0.38,0.65,Rep,Rep
16029,Caribou County,Idaho,6808,0.166,101.5,0.355,0.193,0.19,0.94,0.00,0.00,0.00,0.00,0.00,0.05,0.754,0.015,0.328,0.158,0.185,0.179,0.15,0.724,0.182,0.082,58021,0.354,0.92,0.083,3.01,0.129,0.957,0.029,0.867,0.964,3.86,1.82,0.57,0.75,Rep,Rep
16031,Cassia County,Idaho,23369,0.13,103.2,0.269,0.178,0.08,0.71,0.00,0.00,0.00,0.00,0.03,0.26,0.490,0.057,0.245,0.132,0.241,0.19,0.193,0.798,0.124,0.077,45695,0.305,0.802,0.16,3.51,0.119,0.916,0.113,0.941,0.785,9.11,3.28,0.70,0.73,Rep,Rep
16033,Clark County,Idaho,901,0.131,95.4,0.341,0.15,0.49,0.58,0.00,0.00,0.00,0.00,0.01,0.41,0.253,0.039,0.229,0.206,0.12,0.269,0.176,0.744,0.215,0.034,33672,0.31,0.622,0.181,3.73,0.14,0.953,0.277,1,0.596,0.51,0.31,0.00,0.72,Rep,Rep
16035,Clearwater County,Idaho,8560,0.243,123.8,0.34,0.17,0.18,0.91,0.00,0.02,0.00,0.00,0.04,0.04,0.312,0.073,0.3,0.182,0.172,0.178,0.168,0.655,0.233,0.102,38837,0.475,0.852,0.131,2.48,0.258,0.899,0.02,0.473,0.952,3.48,1.82,1.71,0.75,Rep,Rep
16037,Custer County,Idaho,4234,0.224,105,0.348,0.271,0.44,0.95,0.00,0.01,0.00,0.00,0.02,0.03,0.264,0.033,0.298,0.154,0.236,0.219,0.094,0.657,0.209,0.124,39457,0.436,0.85,0.192,2.77,0.172,0.948,0.021,0.125,0.966,0.86,0.64,0.00,0.74,Rep,Rep
16039,Elmore County,Idaho,26175,0.117,106.7,0.279,0.166,0.20,0.74,0.02,0.01,0.03,0.00,0.06,0.16,0.207,0.084,0.285,0.218,0.174,0.167,0.156,0.6,0.325,0.073,43848,0.283,0.862,0.161,3.07,0.139,0.873,0.104,0.484,0.85,8.51,3.97,0.59,0.68,Rep,Rep
16041,Franklin County,Idaho,12914,0.136,102.6,0.334,0.184,0.09,0.91,0.00,0.00,0.00,0.00,0.02,0.07,0.325,0.05,0.235,0.122,0.262,0.205,0.176,0.813,0.119,0.064,48133,0.326,0.849,0.132,3.44,0.131,0.929,0.038,0.811,0.94,19.46,6.98,0.39,0.71,Rep,Rep
16043,Fremont County,Idaho,12945,0.158,106.5,0.342,0.205,0.48,0.85,0.00,0.01,0.00,0.00,0.03,0.12,0.615,0.06,0.289,0.175,0.207,0.182,0.148,0.712,0.189,0.096,47988,0.339,0.847,0.103,3.16,0.132,0.931,0.044,0.955,0.905,6.95,4.63,0.00,0.72,Rep,Rep
16045,Gem County,Idaho,16731,0.208,100.6,0.377,0.16,0.11,0.88,0.00,0.01,0.01,0.00,0.03,0.08,0.208,0.142,0.308,0.192,0.256,0.143,0.101,0.672,0.205,0.108,40828,0.423,0.801,0.18,3.18,0.189,0.912,0.036,0.581,0.92,29.83,12.66,0.60,0.75,Rep,Rep
16047,Gooding County,Idaho,15233,0.165,107.6,0.331,0.144,0.12,0.68,0.00,0.01,0.01,0.00,0.02,0.29,0.341,0.038,0.275,0.189,0.114,0.284,0.139,0.788,0.106,0.096,39930,0.348,0.768,0.194,3.3,0.159,0.937,0.152,0.895,0.757,20.90,8.31,0.19,0.72,Rep,Rep
16049,Idaho County,Idaho,16312,0.235,110.7,0.373,0.193,0.24,0.92,0.00,0.02,0.00,0.00,0.06,0.03,0.288,0.064,0.256,0.187,0.226,0.175,0.157,0.647,0.217,0.132,38191,0.464,0.851,0.16,2.85,0.217,0.916,0.013,0.237,0.976,1.92,1.02,0.74,0.78,Rep,Rep
16051,Jefferson County,Idaho,26792,0.103,102.2,0.308,0.202,0.08,0.87,0.00,0.00,0.00,0.00,0.03,0.10,0.231,0.061,0.337,0.121,0.225,0.175,0.141,0.766,0.166,0.067,51171,0.275,0.859,0.131,3.67,0.122,0.935,0.045,0.844,0.896,24.50,8.07,0.31,0.74,Rep,Rep
16053,Jerome County,Idaho,22653,0.119,102.4,0.282,0.139,0.07,0.64,0.00,0.00,0.00,0.00,0.03,0.33,0.275,0.066,0.247,0.159,0.188,0.24,0.166,0.826,0.1,0.069,41630,0.278,0.74,0.164,3.46,0.117,0.929,0.169,0.935,0.722,37.93,13.72,0.45,0.69,Rep,Rep
16055,Kootenai County,Idaho,145046,0.163,97.8,0.284,0.232,0.14,0.91,0.00,0.01,0.01,0.00,0.04,0.04,0.243,0.079,0.31,0.184,0.272,0.116,0.119,0.797,0.121,0.08,49403,0.342,0.847,0.13,3.02,0.134,0.931,0.022,0.2,0.972,116.59,52.46,0.79,0.67,Rep,Rep
16057,Latah County,Idaho,38339,0.113,105.4,0.198,0.457,0.07,0.90,0.01,0.01,0.02,0.00,0.05,0.04,0.244,0.076,0.417,0.182,0.221,0.083,0.097,0.621,0.305,0.072,42439,0.237,0.911,0.216,2.97,0.115,0.844,0.05,0.243,0.938,35.63,15.11,0.86,0.40,Rep,Rep
16059,Lemhi County,Idaho,7790,0.259,102,0.337,0.215,0.21,0.94,0.00,0.00,0.00,0.00,0.04,0.03,0.275,0.061,0.312,0.178,0.245,0.145,0.12,0.615,0.232,0.146,34329,0.447,0.843,0.187,2.64,0.204,0.928,0.017,0.235,0.973,1.71,1.04,0.63,0.74,Rep,Rep
16061,Lewis County,Idaho,3812,0.235,97.8,0.343,0.152,0.14,0.87,0.00,0.04,0.01,0.00,0.08,0.04,0.494,0.065,0.295,0.229,0.204,0.136,0.135,0.624,0.255,0.116,36505,0.496,0.795,0.174,2.87,0.213,0.924,0.025,0.457,0.972,7.96,3.92,0.26,0.76,Rep,Rep
16063,Lincoln County,Idaho,5260,0.122,103.6,0.383,0.116,0.17,0.68,0.00,0.02,0.00,0.00,0.02,0.30,0.459,0.06,0.208,0.199,0.181,0.209,0.203,0.768,0.132,0.098,43273,0.312,0.749,0.136,3.72,0.133,0.939,0.133,0.984,0.737,4.38,1.63,0.19,0.68,Rep,Rep
16065,Madison County,Idaho,37916,0.062,101.3,0.158,0.348,0.17,0.90,0.01,0.00,0.01,0.00,0.03,0.07,0.167,0.102,0.374,0.17,0.275,0.085,0.096,0.83,0.106,0.061,32233,0.172,0.9,0.357,3.59,0.059,0.784,0.045,0.498,0.898,80.81,26.40,0.56,0.57,Rep,Rep
16067,Minidoka County,Idaho,20279,0.152,102.9,0.292,0.129,0.08,0.64,0.00,0.01,0.00,0.00,0.03,0.33,0.571,0.048,0.217,0.17,0.193,0.209,0.21,0.798,0.137,0.063,44853,0.343,0.765,0.174,3.25,0.13,0.915,0.131,0.947,0.725,26.77,10.22,0.25,0.71,Rep,Rep
16069,Nez Perce County,Idaho,39779,0.188,98.1,0.307,0.234,0.08,0.88,0.00,0.05,0.01,0.00,0.05,0.03,0.306,0.061,0.31,0.184,0.251,0.101,0.154,0.75,0.163,0.085,48160,0.374,0.873,0.119,2.94,0.176,0.934,0.014,0.183,0.963,46.90,20.57,0.56,0.62,Rep,Rep
16071,Oneida County,Idaho,4245,0.189,105.9,0.384,0.141,0.18,0.94,0.00,0.00,0.00,0.00,0.04,0.04,0.187,0.067,0.283,0.158,0.182,0.202,0.175,0.681,0.224,0.082,41338,0.37,0.891,0.146,3.32,0.147,0.928,0.019,0.346,0.96,3.54,1.61,0.47,0.74,Rep,Rep
16073,Owyhee County,Idaho,11364,0.16,106.6,0.369,0.089,0.18,0.69,0.00,0.03,0.00,0.00,0.03,0.26,0.176,0.117,0.227,0.149,0.171,0.263,0.19,0.754,0.118,0.093,33440,0.318,0.725,0.276,3.42,0.155,0.875,0.106,0.935,0.769,1.48,0.62,0.09,0.78,Rep,Rep
16075,Payette County,Idaho,22700,0.169,101.9,0.331,0.157,0.10,0.80,0.00,0.01,0.00,0.00,0.05,0.16,0.229,0.101,0.263,0.2,0.263,0.118,0.157,0.752,0.162,0.084,44257,0.37,0.801,0.187,3.28,0.148,0.913,0.056,0.915,0.884,55.79,22.18,0.31,0.76,Rep,Rep
16077,Power County,Idaho,7731,0.136,102.3,0.398,0.129,0.13,0.64,0.00,0.04,0.00,0.00,0.01,0.31,0.220,0.094,0.199,0.135,0.227,0.202,0.236,0.751,0.19,0.057,44779,0.334,0.861,0.135,3.42,0.166,0.944,0.106,0.929,0.724,5.51,2.10,0.26,0.60,Rep,Rep
16079,Shoshone County,Idaho,12571,0.21,101.2,0.362,0.141,0.18,0.92,0.00,0.02,0.01,0.00,0.03,0.03,0.292,0.118,0.279,0.23,0.213,0.169,0.109,0.769,0.158,0.068,37665,0.418,0.835,0.172,2.73,0.203,0.931,0.019,0.194,0.971,4.78,2.66,0.55,0.64,Rep,Rep
16081,Teton County,Idaho,10285,0.078,109.6,0.201,0.398,0.34,0.81,0.00,0.00,0.00,0.00,0.02,0.17,0.080,0.085,0.323,0.235,0.171,0.201,0.07,0.771,0.129,0.099,53474,0.159,0.808,0.108,3.39,0.094,0.893,0.105,0.797,0.819,22.88,12.23,0.49,0.44,Rep,Rep
16083,Twin Falls County,Idaho,80004,0.145,97.9,0.289,0.177,0.08,0.81,0.00,0.01,0.01,0.00,0.03,0.15,0.335,0.059,0.284,0.193,0.236,0.135,0.153,0.801,0.121,0.075,44048,0.31,0.832,0.158,3.21,0.126,0.916,0.08,0.626,0.864,41.64,16.44,0.54,0.66,Rep,Rep
16085,Valley County,Idaho,9720,0.204,108.5,0.286,0.298,0.73,0.97,0.00,0.00,0.00,0.00,0.03,0.01,0.440,0.057,0.318,0.272,0.172,0.138,0.1,0.743,0.152,0.102,48384,0.414,0.828,0.15,3.75,0.191,0.881,0.005,0.25,0.936,2.65,3.24,1.72,0.54,Rep,Rep
16087,Washington County,Idaho,10025,0.224,102.8,0.344,0.139,0.16,0.79,0.00,0.01,0.01,0.00,0.04,0.17,0.230,0.097,0.261,0.206,0.181,0.165,0.187,0.655,0.231,0.114,34775,0.483,0.802,0.183,3.25,0.208,0.943,0.057,0.861,0.865,6.90,3.12,0.78,0.74,Rep,Rep
17001,Adams County,Illinois,67081,0.181,95,0.361,0.212,0.10,0.92,0.04,0.00,0.01,0.00,0.03,0.01,0.424,0.068,0.296,0.183,0.267,0.079,0.175,0.834,0.107,0.056,45965,0.351,0.916,0.144,3.05,0.138,0.972,0.014,0.19,0.976,78.44,35.05,0.86,0.72,Rep,Dem
17003,Alexander County,Illinois,7364,0.184,97.4,0.358,0.08,0.33,0.61,0.34,0.01,0.00,0.00,0.05,0.02,0.369,0.139,0.207,0.292,0.24,0.079,0.182,0.745,0.197,0.058,27265,0.408,0.841,0.342,3.47,0.222,0.948,0.008,0.541,0.975,31.27,16.85,0.36,0.53,Rep,Dem
17005,Bond County,Illinois,17313,0.161,103,0.398,0.176,0.13,0.88,0.06,0.00,0.01,0.00,0.04,0.03,0.353,0.064,0.264,0.212,0.262,0.09,0.173,0.821,0.116,0.06,47946,0.379,0.947,0.165,3.06,0.152,0.916,0.024,0.603,0.959,45.53,18.62,0.73,0.65,Rep,Dem
17007,Boone County,Illinois,53851,0.131,99.7,0.36,0.202,0.09,0.75,0.02,0.00,0.01,0.00,0.03,0.20,0.308,0.097,0.296,0.138,0.24,0.106,0.22,0.842,0.097,0.062,58248,0.301,0.902,0.109,3.41,0.097,0.952,0.114,0.764,0.817,191.83,71.13,0.39,0.54,Rep,Dem
17009,Brown County,Illinois,6859,0.132,176.3,0.419,0.14,0.13,0.74,0.16,0.00,0.01,0.00,0.08,0.04,0.269,0.054,0.268,0.158,0.208,0.164,0.202,0.738,0.174,0.088,50739,0.347,0.937,0.109,3.11,0.102,0.862,0.028,0.518,0.949,22.44,8.03,0.29,0.76,Rep,Dem
17011,Bureau County,Illinois,34115,0.193,96.2,0.394,0.179,0.10,0.89,0.01,0.00,0.01,0.00,0.02,0.08,0.364,0.076,0.274,0.188,0.229,0.108,0.201,0.802,0.115,0.08,50423,0.352,0.911,0.125,2.93,0.132,0.959,0.038,0.614,0.92,39.26,18.01,0.49,0.57,Rep,Dem
17013,Calhoun County,Illinois,4999,0.222,102.3,0.435,0.157,0.27,0.98,0.00,0.00,0.00,0.00,0.03,0.00,0.271,0.054,0.269,0.232,0.156,0.164,0.179,0.77,0.128,0.098,53869,0.396,0.952,0.126,2.77,0.161,0.971,0.009,0.178,0.992,19.70,11.14,0.39,0.67,Rep,Dem
17015,Carroll County,Illinois,14926,0.225,99.9,0.433,0.162,0.22,0.94,0.01,0.00,0.00,0.00,0.02,0.03,0.481,0.081,0.285,0.167,0.182,0.108,0.259,0.781,0.12,0.098,48631,0.412,0.907,0.126,2.73,0.151,0.965,0.034,0.49,0.961,33.56,18.96,0.26,0.60,Rep,Dem
17017,Cass County,Illinois,13254,0.159,104.5,0.465,0.138,0.10,0.77,0.03,0.00,0.00,0.00,0.02,0.18,0.583,0.085,0.247,0.164,0.2,0.119,0.27,0.785,0.143,0.072,47434,0.336,0.903,0.129,3.12,0.131,0.936,0.109,0.854,0.819,35.27,15.43,0.00,0.64,Rep,Dem
17019,Champaign County,Illinois,205766,0.108,99.6,0.228,0.434,0.10,0.69,0.12,0.00,0.10,0.00,0.05,0.06,0.328,0.065,0.448,0.187,0.214,0.054,0.097,0.658,0.291,0.05,46495,0.197,0.921,0.228,3.04,0.086,0.88,0.118,0.139,0.837,206.54,89.31,0.59,0.37,Rep,Dem
17021,Christian County,Illinois,34200,0.182,104.5,0.441,0.142,0.10,0.95,0.02,0.00,0.01,0.00,0.02,0.02,0.446,0.054,0.267,0.205,0.234,0.125,0.169,0.785,0.134,0.08,45334,0.362,0.921,0.146,2.85,0.139,0.942,0.01,0.329,0.983,48.21,21.91,0.34,0.69,Rep,Dem
17023,Clark County,Illinois,16159,0.185,94,0.382,0.181,0.14,0.97,0.00,0.00,0.00,0.00,0.02,0.01,0.469,0.085,0.294,0.173,0.203,0.136,0.194,0.784,0.126,0.087,50517,0.345,0.91,0.149,2.85,0.151,0.96,0.013,0.408,0.981,32.23,15.44,0.31,0.72,Rep,Dem
17025,Clay County,Illinois,13582,0.185,97,0.386,0.148,0.13,0.96,0.01,0.00,0.00,0.00,0.03,0.01,0.602,0.067,0.253,0.158,0.204,0.119,0.265,0.818,0.113,0.069,44209,0.357,0.904,0.138,2.82,0.173,0.971,0.01,0.613,0.972,29.00,13.62,0.22,0.80,Rep,Dem
17027,Clinton County,Illinois,37929,0.155,105.5,0.327,0.209,0.11,0.92,0.03,0.00,0.01,0.00,0.03,0.03,0.506,0.049,0.318,0.181,0.226,0.109,0.166,0.791,0.147,0.061,63236,0.324,0.942,0.089,3.14,0.118,0.941,0.016,0.343,0.965,80.00,32.70,0.37,0.72,Rep,Dem
17029,Coles County,Illinois,53037,0.146,93,0.322,0.241,0.10,0.91,0.03,0.00,0.01,0.00,0.04,0.02,0.368,0.097,0.289,0.212,0.254,0.079,0.166,0.735,0.2,0.064,39588,0.286,0.902,0.223,2.87,0.13,0.889,0.021,0.246,0.962,104.34,46.16,0.58,0.60,Rep,Dem
17031,Cook County,Illinois,5236393,0.126,94,0.24,0.358,0.11,0.43,0.24,0.00,0.07,0.00,0.03,0.25,0.343,0.107,0.383,0.182,0.244,0.061,0.13,0.839,0.115,0.045,55251,0.252,0.857,0.171,3.45,0.104,0.965,0.212,0.464,0.65,5539.22,2302.42,0.49,0.21,Rep,Dem
17033,Crawford County,Illinois,19541,0.18,106.5,0.336,0.188,0.12,0.91,0.04,0.00,0.00,0.00,0.05,0.02,0.442,0.068,0.281,0.162,0.209,0.113,0.234,0.806,0.135,0.057,47468,0.369,0.904,0.127,2.93,0.164,0.938,0.014,0.469,0.959,44.05,19.48,0.35,0.72,Rep,Dem
17035,Cumberland County,Illinois,10943,0.176,101.4,0.372,0.136,0.11,0.97,0.00,0.00,0.01,0.00,0.01,0.01,0.260,0.074,0.289,0.16,0.205,0.128,0.219,0.797,0.112,0.084,46061,0.363,0.93,0.158,3.07,0.183,0.929,0.013,0.014,0.982,31.63,14.04,0.09,0.76,Rep,Dem
17037,DeKalb County,Illinois,104345,0.108,97.5,0.263,0.299,0.09,0.78,0.07,0.00,0.02,0.00,0.04,0.11,0.267,0.104,0.334,0.191,0.251,0.083,0.141,0.758,0.2,0.039,54101,0.231,0.907,0.187,3.27,0.093,0.899,0.067,0.496,0.884,165.28,64.96,0.29,0.45,Rep,Dem
17039,De Witt County,Illinois,16388,0.175,101.4,0.386,0.192,0.09,0.95,0.00,0.00,0.00,0.00,0.04,0.02,0.378,0.077,0.272,0.176,0.266,0.133,0.154,0.77,0.157,0.073,53959,0.331,0.92,0.129,2.93,0.124,0.952,0.014,0.511,0.974,41.23,18.92,0.36,0.68,Rep,Dem
17041,Douglas County,Illinois,19826,0.161,96.2,0.362,0.177,0.09,0.91,0.00,0.00,0.01,0.00,0.01,0.07,0.498,0.061,0.263,0.154,0.251,0.116,0.215,0.764,0.15,0.084,51810,0.313,0.818,0.103,3.16,0.105,0.974,0.039,0.755,0.817,47.58,20.14,0.30,0.70,Rep,Dem
17043,DuPage County,Illinois,930412,0.13,96.2,0.19,0.468,0.05,0.69,0.05,0.00,0.11,0.00,0.04,0.14,0.479,0.07,0.448,0.131,0.262,0.055,0.105,0.861,0.095,0.043,79658,0.246,0.917,0.074,3.28,0.08,0.941,0.187,0.302,0.734,2840.95,1090.13,0.64,0.40,Rep,Dem
17045,Edgar County,Illinois,17992,0.199,95.5,0.392,0.181,0.12,0.97,0.01,0.00,0.00,0.00,0.01,0.01,0.397,0.096,0.27,0.176,0.215,0.097,0.242,0.803,0.138,0.057,45691,0.371,0.918,0.17,2.69,0.147,0.939,0.008,0.087,0.988,28.86,14.04,0.22,0.72,Rep,Dem
17047,Edwards County,Illinois,6649,0.191,97.6,0.368,0.111,0.12,0.97,0.00,0.00,0.00,0.00,0.02,0.01,0.651,0.083,0.236,0.137,0.212,0.139,0.277,0.858,0.083,0.059,44497,0.363,0.918,0.129,2.98,0.156,0.964,0.003,0,0.986,29.89,14.25,0.00,0.84,Rep,Dem
17049,Effingham County,Illinois,34332,0.163,99.9,0.364,0.209,0.09,0.96,0.00,0.00,0.01,0.00,0.01,0.02,0.657,0.054,0.292,0.179,0.249,0.107,0.174,0.838,0.092,0.069,52224,0.324,0.93,0.106,3.1,0.121,0.964,0.013,0.441,0.97,71.71,30.76,0.64,0.78,Rep,Dem
17051,Fayette County,Illinois,22136,0.167,110.5,0.4,0.133,0.16,0.92,0.04,0.00,0.01,0.00,0.03,0.02,0.416,0.104,0.245,0.219,0.217,0.127,0.192,0.767,0.162,0.07,43944,0.327,0.871,0.18,3.16,0.171,0.923,0.009,0.052,0.964,30.90,12.89,0.14,0.77,Rep,Dem
17053,Ford County,Illinois,13835,0.193,98.2,0.388,0.166,0.11,0.95,0.01,0.00,0.00,0.00,0.02,0.03,0.534,0.086,0.299,0.174,0.202,0.128,0.196,0.79,0.106,0.102,49947,0.348,0.91,0.134,3,0.163,0.942,0.01,0.262,0.976,28.49,12.98,0.64,0.71,Rep,Dem
17055,Franklin County,Illinois,39694,0.19,97.1,0.344,0.147,0.13,0.96,0.00,0.00,0.00,0.00,0.02,0.01,0.432,0.1,0.269,0.208,0.218,0.12,0.185,0.768,0.164,0.066,39512,0.392,0.892,0.185,3.04,0.196,0.964,0.009,0.232,0.977,97.08,45.45,0.33,0.71,Rep,Dem
17057,Fulton County,Illinois,36323,0.186,107.8,0.359,0.159,0.11,0.92,0.04,0.00,0.00,0.00,0.02,0.03,0.328,0.079,0.287,0.203,0.203,0.104,0.202,0.773,0.163,0.064,46083,0.378,0.918,0.142,2.87,0.141,0.944,0.022,0.621,0.965,41.96,18.68,0.32,0.54,Rep,Dem
17059,Gallatin County,Illinois,5385,0.225,91.3,0.414,0.095,0.12,0.96,0.00,0.01,0.00,0.00,0.03,0.01,0.384,0.075,0.295,0.189,0.192,0.161,0.163,0.76,0.156,0.084,39636,0.442,0.906,0.156,2.73,0.23,0.964,0.005,0,0.997,16.67,8.47,0.54,0.72,Rep,Dem
17061,Greene County,Illinois,13502,0.183,101.4,0.409,0.12,0.14,0.97,0.01,0.00,0.00,0.00,0.01,0.01,0.422,0.094,0.275,0.209,0.189,0.123,0.204,0.763,0.13,0.102,42565,0.388,0.907,0.171,2.95,0.162,0.95,0.005,0.216,0.982,24.86,11.72,0.58,0.75,Rep,Dem
17063,Grundy County,Illinois,50277,0.124,99.6,0.376,0.209,0.09,0.88,0.01,0.00,0.01,0.00,0.02,0.09,0.381,0.078,0.289,0.176,0.24,0.127,0.167,0.837,0.122,0.041,65887,0.276,0.928,0.091,3.19,0.109,0.959,0.037,0.588,0.914,120.27,48.44,0.26,0.59,Rep,Dem
17065,Hamilton County,Illinois,8322,0.2,96.5,0.353,0.14,0.15,0.99,0.01,0.00,0.00,0.00,0.00,0.00,0.395,0.045,0.257,0.145,0.235,0.161,0.202,0.789,0.116,0.093,44159,0.409,0.899,0.148,2.9,0.16,0.96,0,0,0.976,19.15,9.36,0.35,0.77,Rep,Dem
17067,Hancock County,Illinois,18738,0.217,97.5,0.375,0.204,0.15,0.97,0.01,0.00,0.00,0.00,0.02,0.01,0.469,0.068,0.293,0.169,0.24,0.102,0.195,0.758,0.138,0.102,47699,0.38,0.926,0.117,2.85,0.138,0.96,0.014,0.413,0.976,23.61,11.62,0.31,0.73,Rep,Dem
17069,Hardin County,Illinois,4228,0.199,106.8,0.343,0.119,0.27,0.96,0.01,0.00,0.01,0.00,0.01,0.02,0.456,0.181,0.269,0.204,0.176,0.169,0.182,0.754,0.184,0.057,38838,0.49,0.889,0.207,3.15,0.265,0.963,0.007,0.034,0.983,23.82,12.90,0.23,0.77,Rep,Dem
17071,Henderson County,Illinois,7042,0.229,94.9,0.44,0.139,0.19,0.97,0.00,0.00,0.01,0.00,0.02,0.01,0.251,0.07,0.255,0.216,0.184,0.121,0.224,0.758,0.155,0.077,47672,0.397,0.926,0.099,2.72,0.175,0.925,0.01,0.2,0.985,18.59,10.06,0.27,0.62,Rep,Dem
17073,Henry County,Illinois,49883,0.181,98.5,0.352,0.206,0.09,0.91,0.02,0.00,0.00,0.00,0.03,0.05,0.425,0.058,0.309,0.168,0.232,0.11,0.181,0.796,0.137,0.066,53480,0.345,0.933,0.107,2.94,0.118,0.953,0.022,0.544,0.953,60.61,26.87,0.32,0.58,Rep,Dem
17075,Iroquois County,Illinois,29053,0.2,95.5,0.411,0.152,0.12,0.91,0.01,0.00,0.01,0.00,0.02,0.06,0.554,0.075,0.285,0.162,0.225,0.135,0.193,0.786,0.116,0.095,47834,0.367,0.916,0.166,2.92,0.132,0.953,0.032,0.635,0.937,26.00,12.00,0.30,0.75,Rep,Dem
17077,Jackson County,Illinois,59534,0.126,100.8,0.25,0.354,0.18,0.75,0.14,0.00,0.03,0.00,0.06,0.04,0.387,0.104,0.38,0.206,0.25,0.072,0.093,0.62,0.318,0.06,33871,0.248,0.908,0.305,3.09,0.12,0.875,0.063,0.131,0.903,101.93,49.04,1.31,0.44,Rep,Dem
17079,Jasper County,Illinois,9635,0.176,99.5,0.391,0.176,0.13,0.97,0.00,0.00,0.00,0.00,0.02,0.01,0.487,0.055,0.292,0.141,0.25,0.13,0.187,0.787,0.139,0.072,54209,0.337,0.92,0.092,3.04,0.16,0.962,0.015,0.701,0.98,19.48,8.75,0.10,0.78,Rep,Dem
17081,Jefferson County,Illinois,38578,0.173,105.6,0.328,0.162,0.09,0.86,0.08,0.00,0.01,0.00,0.05,0.02,0.482,0.092,0.266,0.198,0.235,0.092,0.208,0.81,0.119,0.07,43247,0.354,0.905,0.17,3.01,0.178,0.939,0.017,0.141,0.965,67.54,29.54,0.44,0.69,Rep,Dem
17083,Jersey County,Illinois,22625,0.169,95.6,0.377,0.174,0.12,0.96,0.00,0.00,0.01,0.00,0.02,0.01,0.365,0.08,0.315,0.183,0.259,0.097,0.147,0.866,0.075,0.058,53271,0.327,0.91,0.073,2.89,0.121,0.955,0.012,0.109,0.983,61.27,27.02,0.30,0.71,Rep,Dem
